2020-05-18/16:35:51		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:09		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:10		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:11		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:12		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:13		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:14		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:15		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:16		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:17		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:17		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:17		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:17		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:17		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:17		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:17		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:17		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:17		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:17		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:18		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:19		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:20		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:20		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:20		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:20		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:20		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:20		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:20		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:20		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:20		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:20		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:21		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:22		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:23		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:24		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:25		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:26		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:27		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:28		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:29		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:30		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:31		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
2020-05-18/16:36:32		 ApsFailure_10051992_120210.csv: File loaded successfully!!
